date,open,high,low,close,volume,stockName
2024-01-05 09:15:00+05:30,1124.0,1126.1,1119.0,1125.8,278986,AXISBANK
2024-01-05 09:20:00+05:30,1126.05,1128.0,1124.25,1127.8,102271,AXISBANK
2024-01-05 09:25:00+05:30,1127.8,1131.05,1127.45,1129.8,299551,AXISBANK
2024-01-05 09:30:00+05:30,1129.8,1130.6,1129.05,1130.0,128499,AXISBANK
2024-01-05 09:35:00+05:30,1130.15,1130.4,1129.75,1129.8,74673,AXISBANK
2024-01-05 09:40:00+05:30,1129.8,1132.0,1129.75,1131.5,92789,AXISBANK
2024-01-05 09:45:00+05:30,1131.5,1132.0,1129.05,1129.75,77257,AXISBANK
2024-01-05 09:50:00+05:30,1129.75,1130.8,1129.75,1130.4,33353,AXISBANK
2024-01-05 09:55:00+05:30,1130.4,1131.7,1130.0,1131.5,48388,AXISBANK
2024-01-05 10:00:00+05:30,1131.5,1131.55,1129.65,1130.25,27696,AXISBANK
2024-01-05 10:05:00+05:30,1130.0,1130.4,1129.0,1130.15,58512,AXISBANK
2024-01-05 10:10:00+05:30,1130.15,1130.15,1129.0,1129.35,56126,AXISBANK
2024-01-05 10:15:00+05:30,1129.35,1130.05,1127.0,1129.8,279282,AXISBANK
2024-01-05 10:20:00+05:30,1129.45,1130.5,1129.35,1129.8,31612,AXISBANK
2024-01-05 10:25:00+05:30,1129.8,1130.5,1129.6,1130.5,32141,AXISBANK
2024-01-05 10:30:00+05:30,1130.5,1131.75,1129.5,1130.0,46239,AXISBANK
2024-01-05 10:35:00+05:30,1129.95,1130.7,1129.5,1129.5,21310,AXISBANK
2024-01-05 10:40:00+05:30,1129.5,1130.4,1128.25,1129.8,205500,AXISBANK
2024-01-05 10:45:00+05:30,1129.8,1130.1,1128.0,1128.2,228812,AXISBANK
2024-01-05 10:50:00+05:30,1128.95,1128.95,1127.15,1128.1,125842,AXISBANK
2024-01-05 10:55:00+05:30,1128.1,1130.15,1127.9,1129.7,106202,AXISBANK
2024-01-05 11:00:00+05:30,1129.7,1130.1,1129.35,1130.0,30921,AXISBANK
2024-01-05 11:05:00+05:30,1130.0,1130.85,1129.45,1130.35,62276,AXISBANK
2024-01-05 11:10:00+05:30,1130.35,1130.4,1129.45,1130.0,47696,AXISBANK
2024-01-05 11:15:00+05:30,1130.0,1130.0,1129.0,1129.15,68467,AXISBANK
2024-01-05 11:20:00+05:30,1129.15,1130.05,1128.5,1129.2,201405,AXISBANK
2024-01-05 11:25:00+05:30,1128.95,1129.75,1128.95,1129.5,51496,AXISBANK
2024-01-05 11:30:00+05:30,1129.5,1130.3,1128.85,1130.1,234155,AXISBANK
2024-01-05 11:35:00+05:30,1130.1,1130.5,1130.0,1130.3,23651,AXISBANK
2024-01-05 11:40:00+05:30,1130.3,1130.3,1129.15,1129.65,41113,AXISBANK
2024-01-05 11:45:00+05:30,1129.7,1130.45,1129.45,1129.8,74030,AXISBANK
2024-01-05 11:50:00+05:30,1129.8,1131.8,1129.55,1131.45,57987,AXISBANK
2024-01-05 11:55:00+05:30,1131.45,1133.85,1131.1,1133.35,81834,AXISBANK
2024-01-05 12:00:00+05:30,1133.35,1135.65,1132.2,1135.2,139267,AXISBANK
2024-01-05 12:05:00+05:30,1134.8,1136.65,1134.8,1135.2,194469,AXISBANK
